latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16.96649,104.7914,317.95,1.19,1.08,2024-08-04,0654,Aqua,MODIS,71,6.1NRT,294.42,10.84,D
14.37539,102.80363,313.69,1.76,1.3,2024-08-04,0654,Aqua,MODIS,67,6.1NRT,289.95,11.61,D
16.51859,104.11179,313.62,1.31,1.14,2024-08-04,0654,Aqua,MODIS,59,6.1NRT,295.23,8.13,D
15.60297,103.7927,315.6,1.42,1.18,2024-08-04,0654,Aqua,MODIS,69,6.1NRT,294.21,12.33,D
13.78181,102.42416,311.12,1.51,1.21,2024-08-05,0245,Terra,MODIS,58,6.1NRT,290.2,9.73,D
14.19003,100.13446,319.7,1.14,1.06,2024-08-05,0733,Aqua,MODIS,59,6.1NRT,294.17,10.75,D
17.06629,100.1079,318.41,1.22,1.1,2024-08-05,0733,Aqua,MODIS,67,6.1NRT,296.14,9.96,D
17.06778,100.11911,316.11,1.22,1.1,2024-08-05,0733,Aqua,MODIS,60,6.1NRT,295.58,7.38,D
15.65944,101.11764,314,1.47,1.2,2024-08-06,0323,Terra,MODIS,65,6.1NRT,292.04,11.05,D
15.81404,102.59898,311.67,1.88,1.34,2024-08-06,0323,Terra,MODIS,58,6.1NRT,292.68,11.35,D
16.05648,102.73225,312.84,1.9,1.35,2024-08-06,0323,Terra,MODIS,65,6.1NRT,291.12,11.58,D
16.17991,103.30528,314.74,2.09,1.41,2024-08-06,0323,Terra,MODIS,33,6.1NRT,292.89,16.93,D
16.54635,102.09918,314.65,1.67,1.27,2024-08-06,0323,Terra,MODIS,40,6.1NRT,293.59,11.49,D
15.65448,101.11086,311.84,1.47,1.2,2024-08-06,0323,Terra,MODIS,46,6.1NRT,291.95,8.2,D
15.80691,102.02773,314.68,1.7,1.28,2024-08-06,0323,Terra,MODIS,50,6.1NRT,293,13.15,D
13.06791,101.1936,313.61,1.65,1.26,2024-08-06,0325,Terra,MODIS,40,6.1NRT,288.84,12.62,D
13.07033,101.1789,313.57,1.65,1.26,2024-08-06,0325,Terra,MODIS,41,6.1NRT,289.39,11.65,D
14.07087,101.83187,308.24,1.77,1.3,2024-08-06,0325,Terra,MODIS,37,6.1NRT,286.5,8.85,D
14.62804,101.26491,313.17,1.57,1.24,2024-08-06,0325,Terra,MODIS,36,6.1NRT,292.47,12.39,D
12.88868,101.09068,312.56,1.64,1.26,2024-08-06,0325,Terra,MODIS,51,6.1NRT,289.26,12.03,D
15.15992,100.78039,324.09,1.42,1.18,2024-08-06,0325,Terra,MODIS,78,6.1NRT,292.58,23.57,D
9.99017,99.06518,313.56,1.32,1.14,2024-08-06,0328,Terra,MODIS,32,6.1NRT,293.67,8.11,D
17.04776,100.03167,323.99,1.06,1.03,2024-08-07,0716,Aqua,MODIS,78,6.1NRT,295.58,14.1,D
16.46992,99.8834,317.01,1.09,1.04,2024-08-07,0716,Aqua,MODIS,68,6.1NRT,296.56,7.48,D
16.3981,100.43574,317.58,1.04,1.02,2024-08-07,0716,Aqua,MODIS,66,6.1NRT,297.16,7.34,D
16.28765,100.2532,316.34,1.06,1.03,2024-08-07,0716,Aqua,MODIS,44,6.1NRT,296.56,5.75,D
16.156,99.94028,316.23,1.09,1.04,2024-08-07,0716,Aqua,MODIS,64,6.1NRT,295.97,7.02,D
16.10523,100.08598,323.1,1.08,1.04,2024-08-07,0716,Aqua,MODIS,76,6.1NRT,295.42,14.51,D
15.97295,100.19491,312.71,1.07,1.03,2024-08-07,0716,Aqua,MODIS,54,6.1NRT,287.13,5.33,D
16.43626,103.50854,320,1.09,1.04,2024-08-07,0716,Aqua,MODIS,38,6.1NRT,295.82,8.37,D
15.05032,100.02402,314.08,1.11,1.05,2024-08-07,0716,Aqua,MODIS,41,6.1NRT,289.54,5.95,D
11.80914,99.72053,315.37,1.26,1.11,2024-08-07,0716,Aqua,MODIS,72,6.1NRT,289.53,7.93,D
14.38076,100.83789,317.25,1.05,1.02,2024-08-07,0716,Aqua,MODIS,27,6.1NRT,290.93,7.57,D
13.75134,101.75606,317.4,1.01,1,2024-08-07,0716,Aqua,MODIS,60,6.1NRT,291.95,7.84,D
14.59351,100.59942,310.13,1.06,1.03,2024-08-07,0716,Aqua,MODIS,51,6.1NRT,280.75,5.85,D
19.17393,99.90684,316.65,1.04,1.02,2024-08-07,0718,Aqua,MODIS,0,6.1NRT,295.15,6.4,D
19.86435,99.83447,316.04,1.03,1.01,2024-08-07,0718,Aqua,MODIS,46,6.1NRT,293.76,8.25,D
15.65305,103.57889,314.86,1.13,1.06,2024-08-08,0306,Terra,MODIS,64,6.1NRT,296.41,7.63,D
16.9289,103.63412,313.36,1.1,1.05,2024-08-08,0306,Terra,MODIS,54,6.1NRT,296.64,6.35,D
17.10536,103.01801,316.22,1.05,1.02,2024-08-08,0306,Terra,MODIS,66,6.1NRT,297.38,7.8,D
17.40707,102.79385,319.06,1.03,1.01,2024-08-08,0306,Terra,MODIS,37,6.1NRT,297.32,7.76,D
17.47345,103.45526,312.68,1.07,1.03,2024-08-08,0306,Terra,MODIS,35,6.1NRT,295.97,6.84,D
17.6398,103.75957,312.93,1.1,1.05,2024-08-08,0306,Terra,MODIS,59,6.1NRT,296.36,7.41,D
13.76807,100.78927,318.96,1,1,2024-08-08,0306,Terra,MODIS,35,6.1NRT,297.09,6.52,D
14.52275,102.24805,315.58,1.03,1.02,2024-08-08,0306,Terra,MODIS,65,6.1NRT,294.49,6.6,D
15.53317,102.72102,315.87,1.05,1.02,2024-08-08,0306,Terra,MODIS,65,6.1NRT,296.91,7.12,D
15.51712,103.19451,316.16,1.09,1.04,2024-08-08,0306,Terra,MODIS,44,6.1NRT,296.41,7.71,D
15.65149,103.58914,313.52,1.13,1.06,2024-08-08,0306,Terra,MODIS,61,6.1NRT,296.01,6.53,D
15.65845,103.58612,316.91,1.13,1.06,2024-08-08,0306,Terra,MODIS,54,6.1NRT,296.38,8.15,D
16.05841,102.72837,312.12,1.04,1.02,2024-08-08,0306,Terra,MODIS,22,6.1NRT,290.85,4.34,D
16.54069,102.10203,317.24,1.01,1,2024-08-08,0306,Terra,MODIS,33,6.1NRT,297.92,6.44,D
16.69782,103.74998,313.78,1.12,1.06,2024-08-08,0306,Terra,MODIS,60,6.1NRT,294.88,5.68,D
14.10639,100.49649,316.31,2.05,1.39,2024-08-09,0659,Aqua,MODIS,68,6.1NRT,293.98,16.25,D
