latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
14.98958,102.569,346.1,0.48,0.4,2024-08-04,0610,N,VIIRS,n,2.0NRT,296.23,9.21,D
12.30896,99.79041,325.03,0.52,0.5,2024-08-04,0610,N,VIIRS,n,2.0NRT,285.36,2.81,D
13.05644,101.07435,296.81,0.4,0.37,2024-08-04,1843,N,VIIRS,n,2.0NRT,263.65,1.24,N
17.38613,104.80885,334.89,0.41,0.45,2024-08-05,0553,N,VIIRS,n,2.0NRT,295.13,1.24,D
14.6496,101.03872,310.94,0.47,0.47,2024-08-05,1824,N,VIIRS,n,2.0NRT,286.9,2.28,N
15.88693,105.18248,307.14,0.43,0.38,2024-08-05,1824,N,VIIRS,n,2.0NRT,286.32,0.65,N
14.67146,100.80212,312.14,0.48,0.48,2024-08-05,1824,N,VIIRS,n,2.0NRT,287.26,3.65,N
14.63121,101.07697,316.51,0.46,0.47,2024-08-05,1824,N,VIIRS,n,2.0NRT,286.77,1.92,N
14.62841,101.09837,307.02,0.46,0.47,2024-08-05,1824,N,VIIRS,n,2.0NRT,287.74,1.15,N
17.1643,102.71085,304.29,0.4,0.44,2024-08-05,1824,N,VIIRS,n,2.0NRT,285.63,1.32,N
14.6896,101.45026,305.75,0.44,0.46,2024-08-05,1824,N,VIIRS,n,2.0NRT,288.09,0.99,N
8.17312,99.98057,341.2,0.62,0.54,2024-08-06,0712,N,VIIRS,n,2.0NRT,292.33,9.66,D
15.15038,100.86551,329.56,0.44,0.62,2024-08-06,0714,N,VIIRS,n,2.0NRT,286.73,2.53,D
15.06083,100.01721,354.07,0.38,0.59,2024-08-06,0714,N,VIIRS,n,2.0NRT,283.84,7.71,D
15.16619,100.79265,345.36,0.43,0.62,2024-08-06,0714,N,VIIRS,n,2.0NRT,286.8,4.53,D
15.10285,100.04572,337.77,0.39,0.59,2024-08-06,0714,N,VIIRS,n,2.0NRT,286.03,3.5,D
