latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.059,101.3454,315.5,2.6,1.6,2024-01-01,0348,Terra,MODIS,57,61.03,299.2,21.6,D,0
14.037,99.6934,313.6,2,1.4,2024-01-01,0348,Terra,MODIS,21,61.03,297.1,12.6,D,0
13.4949,99.5845,312.8,2,1.4,2024-01-01,0348,Terra,MODIS,48,61.03,297.6,13.7,D,0
14.0574,101.3351,324.6,2.3,1.5,2024-01-01,0639,Aqua,MODIS,78,61.03,300.5,43.1,D,0
16.272,104.516,319.5,1.2,1.1,2024-01-01,0639,Aqua,MODIS,65,61.03,302.3,10.2,D,0
15.4938,103.4635,316.2,1.5,1.2,2024-01-01,0639,Aqua,MODIS,43,61.03,299.3,8.3,D,0
14.6367,102.1579,326.3,1.9,1.4,2024-01-01,0639,Aqua,MODIS,78,61.03,296.2,41.1,D,0
16.2313,101.8304,311.3,1.9,1.3,2024-01-01,0639,Aqua,MODIS,43,61.03,293.4,20.5,D,0
15.7989,104.0627,328,1.4,1.2,2024-01-01,0639,Aqua,MODIS,77,61.03,305.6,26.9,D,0
17.1386,102.2606,318.6,1.7,1.3,2024-01-01,0639,Aqua,MODIS,59,61.03,298.6,22.2,D,0
18.9887,100.6844,303.4,1.9,1.3,2024-01-01,1440,Terra,MODIS,55,61.03,290,14.1,N,0
19.0006,100.6835,314,1.9,1.3,2024-01-01,1440,Terra,MODIS,88,61.03,291.1,31.6,N,0
15.2114,100.8706,322.1,1.3,1.1,2024-01-02,0720,Aqua,MODIS,60,61.03,306.2,11.2,D,0
14.2706,99.7853,323.2,1.1,1.1,2024-01-02,0720,Aqua,MODIS,75,61.03,304.7,12.1,D,0
14.1707,100.9445,326.8,1.3,1.1,2024-01-02,0720,Aqua,MODIS,79,61.03,298.4,22.6,D,0
14.1044,101.1295,316.7,1.3,1.1,2024-01-02,0720,Aqua,MODIS,55,61.03,301.1,8.5,D,0
15.9323,100.6103,322.4,1.3,1.1,2024-01-02,0720,Aqua,MODIS,72,61.03,306.5,12.2,D,0
15.7744,101.4323,315.8,1.5,1.2,2024-01-02,0720,Aqua,MODIS,27,61.03,298.1,10.5,D,0
15.3601,101.1452,323.3,1.4,1.2,2024-01-02,0720,Aqua,MODIS,69,61.03,304,18.3,D,0
15.119,99.6843,322.9,1.1,1.1,2024-01-02,0720,Aqua,MODIS,59,61.03,301,14,D,0
15.2122,100.7971,319.8,1.3,1.1,2024-01-02,0720,Aqua,MODIS,63,61.03,303.5,10.2,D,0
14.5477,100.3271,319,1.2,1.1,2024-01-02,0720,Aqua,MODIS,31,61.03,302.9,9.4,D,0
15.1102,100.1707,319.7,1.2,1.1,2024-01-02,0720,Aqua,MODIS,67,61.03,303.7,11.3,D,0
15.2137,100.8092,335.2,1.3,1.1,2024-01-02,0720,Aqua,MODIS,85,61.03,304.4,37.7,D,0
17.7293,99.8312,311.7,1.2,1.1,2024-01-02,0721,Aqua,MODIS,57,61.03,299.4,7.7,D,0
16.4867,98.7056,316.2,1.1,1,2024-01-02,0721,Aqua,MODIS,60,61.03,303.7,6.8,D,0
17.0378,102.213,319.2,1.7,1.3,2024-01-02,0721,Aqua,MODIS,51,61.03,299.4,21.6,D,0
16.7433,98.5006,325.6,1.1,1,2024-01-02,0721,Aqua,MODIS,77,61.03,305.5,14.7,D,0
17.1628,98.268,314.9,1,1,2024-01-02,0721,Aqua,MODIS,61,61.03,303,5.3,D,0
18.2739,98.182,312.3,1.1,1,2024-01-02,0721,Aqua,MODIS,62,61.03,301.8,7.4,D,0
18.9917,101.0553,310.4,1.5,1.2,2024-01-02,0721,Aqua,MODIS,60,61.03,299.3,10.7,D,0
19.0908,100.7674,342.1,1.5,1.2,2024-01-02,0721,Aqua,MODIS,92,61.03,299.8,70.6,D,0
